,dish,Estimated_GI
298,Coarse grain steamed bread,40.0
299,Boiled vegetable,50.0
300,Fried pork slices with Bergamot melon,0.0
301,Shredded pork with lettuce,0.0
302,Cabbage,50.0
303,Coarse grain,40.0
304,Egg,30.0
305,Coarse grain steamed bread,40.0
306,Boiled vegetable,50.0
307,Sliced pork with king oyster mushroom and fungus,6.25
308,Minced pork with potato and cabbage,0.0
309,Sweet potato leaves,50.0
310,Coarse grain,40.0
311,Sliced meat with zucchini,50.0
312,Minced pork with white gourd and carrot,20.0
313,Hangzhou cabbage,50.0
314,Coarse grain,40.0
315,Egg,30.0
316,Coarse grain steamed bread,40.0
317,Boiled vegetable,50.0
318,Braised pork chops with radish,0.0
319,Minced meat with eggplant,30.0
320,Vegetable,50.0
321,Coarse grain,40.0
322,Steamed meatballs with yam,50.0
323,Shredded pork with green pepper and carrot,20.0
324,Hangzhou cabbage,50.0
325,Coarse grain,40.0
326,Egg,30.0
327,Coarse grain steamed bread,40.0
328,Boiled vegetable,50.0
329,Fried pork slices with celery and ginkgo,0.0
330,Shredded pork with tomato and cabbage,0.0
331,Lettuce,50.0
332,Coarse grain,40.0
333,Scrambled egg with tomato,30.0
334,Hangzhou cabbage,50.0
335,Diced pork with green pepper and carrot,20.0
336,Coarse grain,40.0
337,Egg,30.0
338,Coarse grain steamed bread,40.0
339,Boiled vegetable,50.0
340,Shredded pork with tomato and cabbage,0.0
341,Lettuce,50.0
342,Steamed pomfret,50.0
343,Coarse grain,40.0
344,Minced pork with broccoli and carrot,20.0
345,Sliced pork with lettuce and water bamboo,0.0
346,Chinese cabbage,15.0
347,Coarse grain,40.0
348,Egg,30.0
349,Coarse grain steamed bread,40.0
350,Boiled vegetable,50.0
351,Spinach,50.0
352,Shredded pork with celery,0.0
353,Steamed fish,50.0
354,Coarse grain,40.0
355,Sliced duck with yam and tomato,50.0
356,Minced pork with pumpkin and scallion oil,0.0
357,Cabbage,50.0
358,Coarse grain,40.0
359,Egg,30.0
360,Coarse grain steamed bread,40.0
361,Boiled vegetable,50.0
362,Braised duck slices with green pepper and onion,50.0
363,Vegetable,50.0
364,Minced meat and cowpea,50.0
365,Coarse grain,40.0
366,Sliced pork with snow pea and yam,0.0
367,Shredded Chinese cabbage and carrot,27.5
368,Shredded pork with broccoli,0.0
369,Coarse grain,40.0
370,Egg,30.0
371,Coarse grain steamed bread,40.0
372,Boiled vegetable,50.0
373,biscuit,50.0
374,Glucose,50.0
375,Glucose,50.0
376,Egg,30.0
377,Coarse grain steamed bread,40.0
378,Boiled vegetable,50.0
379,Sliced pork with king oyster mushroom and fungus,6.25
380,Minced pork with tomato and cabbage,0.0
381,Sweet potato leaves,50.0
382,Coarse grain,40.0
383,Steamed chicken with mushrooms,12.5
384,Minced pork with white gourd and carrot,20.0
385,Hangzhou cabbage,50.0
386,Coarse grain,40.0
387,Steamed bread,50.0
388,Scrambled egg with tomato,30.0
389,Shredded pork with green pepper and carrot,20.0
390,Hangzhou cabbage,50.0
391,Coarse grain,40.0
392,Pork jerky,0.0
393,Egg,30.0
394,Coarse grain steamed bread,40.0
395,Boiled vegetable,50.0
396,Pork stuffed green pepper,0.0
397,Shredded pork with tomato and cabbage,0.0
398,Lettuce,50.0
399,Coarse grain,40.0
400,Steamed chicken with mushrooms,12.5
401,Minced pork with broccoli and carrot,20.0
402,Chinese cabbage,15.0
403,Coarse grain,40.0
404,Pork jerky,0.0
405,Egg,30.0
406,Coarse grain steamed bread,40.0
407,Boiled vegetable,50.0
408,Braised pork with tofu skin knot,0.0
409,Shredded pork with celery,0.0
410,Spinach,50.0
411,Coarse grain,40.0
412,Sliced pork with lettuce and fungus,0.0
413,Shredded pork with cucumber,0.0
414,Cabbage,50.0
415,Coarse grain,40.0
416,Pork jerky,0.0
417,Egg,30.0
418,Coarse grain steamed bread,40.0
419,Boiled vegetable,50.0
420,Braised duck slices with green pepper and onion,50.0
421,Minced pork with cowpea,0.0
422,Vegetable,50.0
423,Coarse grain,40.0
424,Braised chicken with water bamboo and carrot,40.0
425,Shredded pork with broccoli,0.0
426,Shredded Chinese cabbage and carrot,27.5
427,Coarse grain,40.0
428,Beef jerky,50.0
429,Egg,30.0
430,Coarse grain steamed bread,40.0
431,Boiled vegetable,50.0
432,Fried fish slices with tomatoes,50.0
433,Minced pork with yam and corn,0.0
434,Hangzhou cabbage,50.0
435,Coarse grain,40.0
436,Sliced pork with celery and ginkgo,0.0
437,Shredded pork with lettuce and carrot,20.0
438,Vegetable,50.0
439,Coarse grain,40.0
440,Egg,30.0
441,Coarse grain steamed bread,40.0
442,Boiled vegetable,50.0
443,Sliced pork with green pepper and mushroom,6.25
444,Braised shredded pork and cabbage,0.0
445,Green pepper and green bean sprouts,50.0
446,Coarse grain,40.0
447,Diced duck with lettuce and carrot,40.0
448,Shredded pork with green pepper and water bamboo,0.0
449,Vegetable,50.0
450,Coarse grain,40.0
451,Egg,30.0
452,Coarse grain steamed bread,40.0
453,Boiled vegetable,50.0
454,Steamed bun,50.0
455,Milk,50.0
456,Egg,30.0
457,Steamed pork bun,0.0
458,Vegetable,50.0
459,Boiled duck meat,50.0
460,Steamed small meat dumpling in basket,50.0
461,Coarse grain,40.0
462,Vegetable,50.0
463,"2 Shrimps
Shredded kelp",50.0
464,Rice,50.0
465,Peanut,50.0
466,Strawberry,50.0
467,Loquat,50.0
468,Steamed vegetable bun,50.0
469,Rice,50.0
470,Boiled duck meat,50.0
471,Vegetable,50.0
472,Cauliflower,17.5
473,Kelp,50.0
474,Bitter gourd,50.0
475,Vegetable,50.0
476,Kelp,50.0
477,Cauliflower,17.5
478,Duck leg,50.0
479,Rice,50.0
480,Steamed pork dumplings,0.0
481,Steamed vegetable bun,50.0
482,Bean,50.0
483,Milk,50.0
484,Cauliflower,17.5
485,Gluten,50.0
486,Pork meatball,0.0
487,Sausage,50.0
488,Rice,50.0
489,Pork meatball,0.0
490,Biscuit,50.0
491,Peanut,50.0
492,Gluten,50.0
493,Sausage,50.0
494,Corn,50.0
495,Lean meat,50.0
496,Buckwheat noodles,50.0
497,Steamed vegetable bun,50.0
498,Steamed pork dumplings,0.0
499,Steamed small meat dumpling in basket,50.0
500,Egg,30.0
501,Bean,50.0
502,Rice,50.0
503,Gluten,50.0
504,Vegetable,50.0
505,Sausage,50.0
506,Pork meatball,0.0
507,Loquat,50.0
508,Strawberry,50.0
509,Walnut,50.0
510,Vegetable,50.0
511,Gluten,50.0
512,Cucumber,50.0
513,Beef,50.0
514,Coarse grain,40.0
515,Steamed vegetable bun,50.0
516,Bean,50.0
517,Coarse grain,40.0
518,Beef,50.0
519,Cucumber,50.0
520,Gluten,50.0
521,Vegetable,50.0
522,Coarse grain,40.0
523,Beef,50.0
524,Cucumber,50.0
525,Gluten,50.0
526,Vegetable,50.0
527,Biscuit,50.0
528,Biscuit,50.0
529,Dumpling,50.0
530,Beef,50.0
531,Vegetable,50.0
532,Coarse grain,40.0
533,Winter gourd,50.0
534,Peanut,50.0
535,Walnut,50.0
536,Loquat,50.0
537,Bread,50.0
538,Steamed vegetable bun,50.0
539,Egg white,30.0
540,Bean,50.0
541,Winter gourd,50.0
542,Chinese cabbage,15.0
543,Fried egg,30.0
544,Vegetable,50.0
545,Coarse grain,40.0
546,Beef,50.0
547,Bread,50.0
548,Coarse grain,40.0
549,Beef,50.0
550,Vegetable,50.0
551,Chinese cabbage,15.0
552,Fried egg,30.0
553,Peanut,50.0
554,Walnut,50.0
555,Bean,50.0
556,Steamed vegetable bun,50.0
557,Chinese cabbage,15.0
558,Beef,50.0
559,Fried egg,30.0
560,Coarse grain,40.0
561,Egg white,30.0
562,Chinese cabbage,15.0
563,Beef,50.0
564,Fried egg,30.0
565,Coarse grain,40.0
566,Boiled dumpling,50.0
567,Vegetable,50.0
568,Oil pastry,50.0
569,Beef,50.0
570,Coarse grain,40.0
571,Bread,50.0
572,Coarse grain,40.0
573,Vegetable,50.0
574,Oil pastry,50.0
575,Kung Pao Chicken,50.0
576,Corn soup,50.0
577,Milk,50.0
578,Steamed corn bun,50.0
579,Bean,50.0
580,Steamed pork dumplings,0.0
581,Egg,30.0
582,Dumpling,50.0
583,Steamed bun,50.0
584,Crucian carp,50.0
585,Vegetable,50.0
586,Scrambled egg with tomato,30.0
587,Kung Pao Chicken,50.0
588,Coarse grain,40.0
589,Steamed egg with pork,15.0
590,Coarse grain steamed bread,40.0
591,Bean,50.0
592,Milk,50.0
593,Vegetable,50.0
594,Sword bean,50.0
595,Oil pastry,50.0
596,Steamed egg with lean pork,15.0
597,Coarse grain,40.0
598,Scrambled egg with tomato,30.0
599,Vegetable,50.0
600,Sword bean,50.0
601,Oil pastry,50.0
602,Steamed egg with pork,15.0
603,Coarse grain,40.0
604,Scrambled egg with tomato,30.0
605,Marinated egg,30.0
606,Chicken wing,50.0
607,Tofu skin rolls with minced pork,0.0
608,Cucumber,50.0
609,Coarse grain,40.0
610,Coarse grain steamed bread,40.0
611,Egg,30.0
612,Steamed pork dumplings,0.0
613,Milk,50.0
614,Cucumber,50.0
615,Chicken wing,50.0
616,Braised pork,0.0
617,Tofu skin rolls with minced pork,0.0
618,Brown daisy,50.0
619,Coarse grain,40.0
620,Snakehead fish,50.0
621,Soup,50.0
622,Tofu skin rolls with minced pork,0.0
623,Vegetable,50.0
624,Coarse grain,40.0
625,Snakehead fish,50.0
626,Soup,50.0
627,Wax gourd,50.0
628,Braised pork in brown sauce,0.0
629,Cucumber,50.0
630,Steamed bun,50.0
631,Egg,30.0
632,Milk,50.0
633,Bean,50.0
634,Shrimp,50.0
635,Tofu skin rolls with minced pork,0.0
636,Salty boiled goose,50.0
637,Braised pork,0.0
638,Coarse grain,40.0
639,Snakehead fish,50.0
640,Soup,50.0
641,Onion and beef,50.0
642,Cauliflower,17.5
643,Shrimp,50.0
644,Salty boiled goose,50.0
645,Vegetable,50.0
646,Chicken wing,50.0
647,Tofu skin rolls with minced pork,0.0
648,Coarse grain,40.0
649,Snakehead fish soup,50.0
650,Coarse grain steamed bun,40.0
651,Bean,50.0
652,Milk,50.0
653,Egg,30.0
654,Onion and beef,50.0
655,Shrimp,50.0
656,Cauliflower,17.5
657,Salty boiled goose,50.0
658,Vegetable,50.0
659,Chicken wing,50.0
660,Braised pork in brown sauce,0.0
661,Coarse grain,40.0
662,Shrimp,50.0
663,Onion and beef,50.0
664,Cauliflower,17.5
665,Salt boiled duck,50.0
666,Vegetable,50.0
667,Chicken wing,50.0
668,Braised pork in brown sauce,0.0
669,Coarse grain,40.0
670,Buckwheat bread,50.0
671,Milk cereal,50.0
672,Egg,30.0
673,Steamed small meat dumpling in basket,50.0
674,Egg,30.0
675,Coarse grain steamed bread,40.0
676,Milk cereal,50.0
677,Egg,30.0
678,Steamed bread,50.0
679,Milk,50.0
680,Shepherd's purse stuffed pork meatball,0.0
681,Bitter gourd,50.0
682,Coarse grain,40.0
683,Shrimp,50.0
684,Shepherd's-purse stuffed pork meatball,0.0
685,Bitter gourd,50.0
686,Coarse grain,40.0
687,Shrimp,50.0
688,Steamed bread,50.0
689,Milk,50.0
690,Coarse grain steamed bread,40.0
691,Egg,30.0
692,Rice,50.0
693,Vegetable,50.0
694,Mandarin fish,50.0
695,Apple,50.0
696,Omelette,50.0
697,Vegetable,50.0
698,Tomato and egg soup,30.0
699,Buckwheat noodles,50.0
700,Milk cereal,50.0
701,Egg,30.0
702,Bean,50.0
703,Wonton,72.5
704,Vegetable,50.0
705,Bamboo shoot and pork bone soup,0.0
706,Wonton,72.5
707,Steamed bread,50.0
708,Pan fried bun,50.0
709,Bean,50.0
710,Milk,50.0
711,Vegetable,50.0
712,Shrimp and winter bamboo shoot,50.0
713,Rice,50.0
714,Duck meat,50.0
715,Vegetable,50.0
716,Shrimp and winter bamboo shoot,50.0
717,Rice,50.0
718,Duck meat,50.0
719,Bean,50.0
720,Egg,30.0
721,Milk,50.0
722,Pan fried wonton,72.5
723,"Shrimp, bamboo shoots and mushroom",12.5
724,Lettuce and sliced pork,0.0
725,Corn and carrot,40.0
726,Fried rice with egg,30.0
727,Pan fried bun,50.0
728,Wonton,72.5
729,Braised hairtail,50.0
730,Scrambled egg with Shepherd's-purse,30.0
731,Vegetable,50.0
732,Bacon,50.0
733,Rice,50.0
734,Steamed bread,50.0
735,Bean,50.0
736,Egg,30.0
737,Coarse grain bread,40.0
738,Milk,50.0
739,Caramel treats,50.0
740,Steamed bread,50.0
741,Vegetable,50.0
742,Cucumber,50.0
743,Eggplant and soybean,30.0
744,Rice,50.0
745,Scrambled egg with Shepherd's purse,30.0
746,Rice,50.0
747,Scrambled egg with Shepherd's-purse,30.0
748,Bacon,50.0
749,Eggplant and soybean,30.0
750,Vegetable,50.0
751,Fried sliced pork with cucumber,0.0
752,Milk cereal,50.0
753,Steamed bread,50.0
754,Bean,50.0
755,Corn,50.0
756,Egg white,30.0
757,Tomato,50.0
758,Salty biscuits,50.0
759,Rice,50.0
760,Cucumber and sliced pork,0.0
761,Braised hairtail,50.0
762,Scrambled egg with Shepherd's purse,30.0
763,Eggplant and soybean,30.0
764,Bacon,50.0
765,Rice,50.0
766,Cucumber and sliced pork,0.0
767,Braised hairtail,50.0
768,Scrambled egg with Shepherd's-purse,30.0
769,Eggplant and soybean,30.0
770,Bacon,50.0
771,Milk cereal,50.0
772,Bean,50.0
773,Steamed bread,50.0
774,Egg,30.0
775,Vegetable and rice,50.0
776,Pork bone soup,0.0
777,Vegetable,50.0
778,Braised crucian,50.0
779,Bacon,50.0
780,Coarse grain,40.0
781,Fried salty pie,50.0
782,Chocolate cake,50.0
783,Vegetable,50.0
784,Braised pork with bamboo shoot,0.0
785,Mandarin fish,50.0
786,Milk,50.0
787,Egg,30.0
788,Bean,50.0
789,Stuffed sticky rice ball,50.0
790,Vegetable,50.0
791,Beef and bamboo shoot,50.0
792,Braised pork and egg,15.0
793,Coarse grain,40.0
794,Mandarin fish,50.0
795,Taro,50.0
796,Vegetable,50.0
797,Shrimp and cucumber,50.0
798,Braised pork and egg with bamboo shoot,15.0
799,Coarse grain,40.0
800,Mandarin fish,50.0
801,Milk cereal,50.0
802,Steamed bread,50.0
803,Egg,30.0
804,Bean,50.0
805,Vegetable,50.0
806,Shrimp and cucumber,50.0
807,Braised pork and egg,15.0
808,Coarse grain,40.0
809,Vegetable,50.0
810,Shrimp and cucumber,50.0
811,Braised pork and egg,15.0
812,Coarse grain,40.0
813,Milk cereal,50.0
814,Egg,30.0
815,Bean,50.0
816,Pancake,50.0
817,Braised pork and egg with bamboo shoot,15.0
818,Baked wheat cake,50.0
819,Rice,50.0
820,Shrimp and cucumber,50.0
821,Vegetable,50.0
822,Mandarin fish,50.0
823,Dried bean curd,50.0
824,Rice,50.0
825,Milk cereal,50.0
826,Taro,50.0
827,Egg,30.0
828,Bean,50.0
829,Vegetable,50.0
830,Chicken wing,50.0
831,Shrimp and cucumber,50.0
832,Bacon,50.0
833,Coarse grain,40.0
834,Shrimp and cucumber,50.0
835,Vegetable,50.0
836,Celery and dried bean curd,50.0
837,Rice,50.0
838,Milk,50.0
839,Bean,50.0
840,Egg,30.0
841,Steamed vegetable bun,50.0
842,Celery and dried bean curd,50.0
843,Lettuce,50.0
844,Chicken wing,50.0
845,Scrambled egg with tomato,30.0
846,Rice,50.0
847,Celery and dried bean curd,50.0
848,Lettuce,50.0
849,Chicken wing,50.0
850,Scrambled egg with tomato,30.0
851,Rice,50.0
852,Egg,30.0
853,Milk cereal,50.0
854,Steamed bun,50.0
855,Vegetable,50.0
856,Celery and dried bean curd,50.0
857,Braised pork in brown sauce,0.0
858,Shrimp,50.0
859,Mandarin fish,50.0
860,Coarse grain,40.0
861,Chicken wing,50.0
862,Vegetable  and shrimp,50.0
863,Mandarin fish,50.0
864,Coarse grain,40.0
865,Pork liver,0.0
866,Braised beef noodles,50.0
867,Rice,50.0
868,Cowpea,50.0
869,Chinese cabbage and shredded pork,7.5
870,Peanut and dried bean curd,50.0
871,Brown daisy,50.0
872,Cucumber,50.0
873,Coarse grain,40.0
874,Pork liver,0.0
875,Egg,30.0
876,Milk and peanut,50.0
877,Steamed bread,50.0
878,Bean,50.0
879,Corn,50.0
880,Cucumber and fungus,50.0
881,Scrambled egg with tomato,30.0
882,Braised pork in brown sauce,0.0
883,Coarse grain,40.0
884,Cucumber and fungus,50.0
885,Scrambled egg with tomato,30.0
886,Braised pork in brown sauce,0.0
887,Coarse grain,40.0
888,Egg,30.0
889,Milk cereal,50.0
890,Steamed bread,50.0
891,Bean,50.0
892,Taro,50.0
893,Steamed bread,50.0
894,Buckwheat noodles with tomato,50.0
895,Dumpling,50.0
896,Beef,50.0
897,Milk,50.0
898,Steamed bread,50.0
899,Taro,50.0
900,Egg,30.0
901,Bean,50.0
902,Scrambled egg with tomato,30.0
903,Rice,50.0
904,Leek,50.0
905,Braised pork in brown sauce,0.0
906,Scrambled egg with tomato,30.0
907,Rice,50.0
908,Bean sprout,50.0
909,Vegetable,50.0
910,Milk cereal,50.0
911,Coarse grain steamed bread,40.0
912,Dumpling,50.0
913,Braised pork in brown sauce,0.0
914,Scrambled egg with tomato,30.0
915,Bean sprout,50.0
916,Vegetable,50.0
917,Beef,50.0
918,Rice,50.0
919,Braised pork in brown sauce,0.0
920,Scrambled egg with tomato,30.0
921,Bean sprout,50.0
922,Vegetable,50.0
923,Beef,50.0
924,Steamed vegetable bun,50.0
925,Steamed pork dumplings,0.0
926,"
Milk and coffee",50.0
927,Apple,50.0
928,Oatcake,50.0
929,"
Rice",50.0
930,Meat,50.0
931,Vegetable,50.0
932,Plum,50.0
933,"
Coarse grain",40.0
934,Yellow croaker fish,50.0
935,Vegetable,50.0
936,Meat patty,50.0
937,Coarse grain,40.0
938,Milk and coffee,50.0
939,"
Steamed rice in clay pot",50.0
940,Chicken soup with pork tripe and pepper,0.0
941,"
Coarse grain",40.0
942,Small yellow croaker fish,50.0
943,Vegetable and sparerib,50.0
944,"
Milk and coffee",50.0
945,Oatcake,50.0
946,Biscuit,50.0
947,"
Roasted meat",50.0
948,"
Biscuit",50.0
949,"
Roast duck",50.0
950,Crust,50.0
